NO.,ชื่อแบรนด์,รายละเอียก,ความคิดสร้างสรรค์ในการฝ่าอุปสรรค,ขยายขอบเขตความคิดสร้างสรรค์ด้วยเทคโนโลยี ,ความคิดสร้างสรรค์บนความโปร่งใสที่จับต้องได้,ความคิดสร้างสรรค์เพื่อเปิดโอกาสให้คนอื่น ,ความคิดสร้างสรรค์ที่สร้างความเป็นเจ้าของ,โลโก้,Link 1,Link 2,Link 3,Link 4,Link 5,หมายเหตุ
1,AMT Skincare (พี่ฝุ่ง),"แบรนด์สกินแคร์ไทยโดย ""พี่ฝุ่ง–อมต ชัยเกรียงไกร"" นักวิจัยเครื่องสำอางเบื้องหลังสูตรสกินแคร์ญี่ปุ่นกว่า 2,000 สูตร และคนไทยคนแรกที่ได้รางวัลระดับโลก IFSCC","ฝ่าตลาดสกินแคร์ที่เต็มไปด้วยการตลาดเกินจริง ด้วยจุดยืนวิทยาศาสตร์–ความรู้ ปั้นแบรนด์จนรายได้ ~520 ลบ. และตั้งเป้าปี 2568 ที่ 1,000–1,500 ลบ. พร้อมบุกตลาดญี่ปุ่น [อ้างอิง: smethailandclub, thairath]","ใช้สื่อ OOH แนว ""ขายความสงสัย"" ดึงคนเมืองกลับมาเรียนรู้เรื่องผิว + พัฒนา AMT Delivery Technology (ไลโปโซมนำสารเข้าผิวตรงจุด) และ AMT Skin Check [อ้างอิง: planbmedia, amtskincare]","core — โมเดล ""ให้ความรู้ → เข้าใจ → เชื่อมั่น → จึงเกิดยอดขาย"" อธิบายส่วนผสม/กลไกผิวอย่างละเอียดโปร่งใส (เช่น คลิป ""สิวที่แก้ม"" ยอดชมหลักสิบล้านวิวที่ชี้ความจริงเรื่องผิวโดยไม่ได้ขายของ) ให้ผู้บริโภคตรวจสอบ–ตัดสินใจเองได้ [อ้างอิง: smethailandclub, thairath]","ถ่ายทอดความรู้เรื่องผิวสู่สาธารณะผ่านช่อง TikTok ""พี่ฝุ่ง สอนดูแลผิว"" (ผู้ติดตามกว่า 800K) ยกระดับความเข้าใจของผู้บริโภคไทยวงกว้าง [อ้างอิง: thairath]","ฐานแฟน ""สาวก AMT"" ที่เชื่อมั่นในพี่ฝุ่ง บอกต่อปากต่อปากจนเป็นแรงขับยอดขายหลัก [อ้างอิง: smethailandclub]",https://drive.google.com/file/d/1MC5OcDClAjZUm2kKgligVjPBzvhjLd8Y/view?usp=sharing,https://marketeeronline.co/archives/454871,https://www.planbmedia.co.th/insight/amt-skincare,https://www.marketthink.co/24100,-,https://www.thairath.co.th/money/business_marketing/trends/2930060,
2,Patom Organic,แบรนด์ออร์แกนิก F&B/บิวตี้ ต่อยอดจากสวนสามพราน/สามพรานโมเดล ที่เชื่อมเกษตรอินทรีย์–ผู้บริโภค,ปั้นแบรนด์ออร์แกนิกแท้ที่มีตัวตนชัดจากสามพรานโมเดล ฝ่าตลาดด้วยจุดยืนความจริงใจ–ยั่งยืน,"ออกแบบร้าน ""เรือนกระจก"" แบบ open factory ให้ลูกค้าเห็นกระบวนการ + ติด QR code ที่ต้นไม้ให้สแกนดูสายพันธุ์/ที่มา ผสานการเล่าเรื่องวัตถุดิบ",core — Open factory + QR ที่ต้นไม้ + การรับรองออร์แกนิก IFOAM/EU/Canada + จุดยืน honest & traceable ออกแบบการเปิดที่มา–กระบวนการให้ผู้บริโภคตรวจสอบเองได้ (creative transparency ระดับสูง),"ใช้ ""Sampran Model"" ตั้งราคารับซื้อเป็นธรรมหนุนเกษตรกรออร์แกนิกต้นน้ำให้มีรายได้มั่นคง",ฐานลูกค้าสายออร์แกนิก/วิถีสุขภาพที่ผูกพันกับคุณค่าแบรนด์,https://drive.google.com/file/d/12jjFJezqsYieuuAPDKeN1JfIJrG4iCNx/view?usp=sharing,https://thestandard.co/yamaha-music-school-60th-anniversary-asean/,https://www.facebook.com/261990096842118/posts/940589305648857,https://www.facebook.com/705341288263957/posts/1562345622563515,https://mgronline.com/local/detail/9690000035868,https://www.facebook.com/468537125312631/posts/1394809939352007,
3,ดอยตุง (DoiTung),แบรนด์ social enterprise วิถีชุมชนภายใต้มูลนิธิแม่ฟ้าหลวง (กาแฟ–แมคคาเดเมีย–หัตถกรรม–คาเฟ่),"จุดแข็งเด่นด้าน T1 — 38 ปี พลิกพื้นที่ภูเขาหัวโล้น/ปลูกฝิ่นสู่ ""โมเดลความยั่งยืน"" ที่คนทั่วโลกมาเรียนรู้ จนแบรนด์มีตัวตนทรงพลัง",พัฒนาดีไซน์หัตถกรรม/แฟชั่นร่วมสมัย + ค้าปลีกผ่านช่องทางดิจิทัล ต่อยอดงานคราฟต์ชุมชนสู่ตลาดใหม่,core — เป็น social enterprise ที่เปิดโมเดลธุรกิจและการกระจายกำไรคืนชุมชนอย่างชัดเจน (ความโปร่งใสเชิงโครงสร้างธุรกิจ — แต่การออกแบบเปิดเผยต่อผู้บริโภคยังไม่สุดเท่ารายที่ผ่าน band สูง),สร้างป่า–สร้างรายได้ ขายคาร์บอนเครดิต ตั้งเป้ารายได้เข้าชุมชน 135 ลบ. + งานหัตถกรรมสร้างรายได้ครัวเรือนจริง,ผู้บริโภคภูมิใจสนับสนุนเพราะคุณค่า (ความเป็นเจ้าของเชิงคุณค่า),https://drive.google.com/file/d/1Q1D0tyxWt20e_Y1SKD-_JM_4ULyNqtaV/view?usp=sharing,https://thaipublica.org/2026/06/38-years-of-doi-tung/,https://www.facebook.com/photo.php?fbid=1273018118278979&set=a.414141734166626&type=3,https://www.facebook.com/238356581817822/posts/1277633077890162,https://thaipublica.org/2026/04/mae-fah-luang-foundation-community-livelihood-platform/,https://www.facebook.com/photo.php?fbid=1273018118278979&set=a.414141734166626&type=3,
4,Folk Charm,แบรนด์แฟชั่นผ้าฝ้ายอินทรีย์ทอมือ แนว slow/ethical fashion ก่อตั้งปี 2557 โดยภาสวี ตปสนันท์ โคดากะ (Passawee Kodaka) คว้า APEC BCG Award 2024 (สาขาสตรี),"ก่อตั้งจากวิทยานิพนธ์ที่พบว่าช่างทอผ้ามูลค่าหมื่นบาทได้ค่าตอบแทนเพียงหลักร้อย จึงสร้างแบรนด์ที่มีตัวตนชัดด้าน slow fashion เพื่อปฏิรูปวงการแฟชั่นไทย ท่ามกลางตลาด fast fashion [อ้างอิง: The Cloud, APEC]","เปลี่ยนกระบวนการผลิตเป็นคอนเทนต์ ""Cotton Journey"" เล่าเส้นทางฝ้าย–การย้อมสีธรรมชาติ + พัฒนาโมเดลผลิต circular zero-waste (ใช้เศษผ้าทำของแต่ง/เส้นด้ายใหม่) ที่ส่งเสริมความโปร่งใส–ตรวจสอบย้อนกลับ [อ้างอิง: APEC BCG, folkcharm]","core — เปิดเผย ""ชื่อช่างทอ–ช่างตัด–ข้อมูลชุมชน"" ติดไปกับสินค้าแต่ละชิ้น + ใช้ฝ้ายฝนธรรมชาติปลอดเคมี 100% ย้อมสีจากพืชท้องถิ่น (APEC ยกเป็นต้นแบบ production transparency & traceability) ออกแบบความโปร่งใสให้ผู้บริโภคตรวจสอบที่มาเองได้ [อ้างอิง: APEC, The Cloud, BrandThink]","ทำงานกับช่างหญิงพื้นบ้านกว่า 50 คน (เกษตรกรปลูกฝ้าย 8 + ช่างปั่น/ทอ 30 คน ที่ จ.เลย + ช่างตัด 12 คน ในกรุงเทพฯ) ด้วยค่าตอบแทนเป็นธรรม ทำให้รายได้ช่างทอเพิ่มขึ้น 30–50% + ก่อตั้งเครือข่าย VolksKraft หนุนธุรกิจคราฟต์เพื่อสังคม [อ้างอิง: APEC, rareandfair, AirAsia Foundation]","ลูกค้าสาย ethical fashion ผูกพันกับคุณค่าและเรื่องราวเบื้องหลังแบรนด์ [อ้างอิง: Green is the New Black, Angels of Impact]",https://drive.google.com/file/d/1JrSfxEq9tfXmpn46uGopRwAS6Ck9zC-0/view?usp=sharing,https://readthecloud.co/crafting-folkcharm-en/,-,https://folkcharm.com/naturaldye/,https://rareandfair.com/pages/folkcharm-crafts,http://greenisthenewblack.fr/interviews-folk-charm/?lang=en,
5,ดอยช้าง (Doi Chaang),แบรนด์กาแฟชุมชนระดับพรีเมียมจากดอยช้าง เชียงราย ที่ยกระดับชุมชนชาติพันธุ์สู่กาแฟระดับโลก,ปั้นกาแฟชุมชนจากพื้นที่เคยปลูกฝิ่น/ยากจน สู่แบรนด์พรีเมียมระดับโลกตลอด 15–20 ปี,ใช้เทคโนโลยีการคั่ว/ควบคุม Roast Profile เพื่อคุณภาพสม่ำเสมอ + ศูนย์เรียนรู้–โรงแปรรูปของชุมชน + ช่องทาง e-commerce (ส่วนหนึ่งของยุทธศาสตร์ Chiangrai Specialty Coffee 2025),core — กาแฟ GI (ขึ้นทะเบียนปี 2549) + ระบบตรวจสอบย้อนกลับตลอดกระบวนการผลิตจากต้นทางถึงแก้ว ตอบความต้องการผู้บริโภคยุคใหม่ด้านความโปร่งใส,สร้างรายได้พรีเมียมให้เกษตรกรชุมชน + โมเดลแบ่งปันผลประโยชน์คืนต้นทาง,แฟนกาแฟดอยช้าง/ความภูมิใจในกาแฟไทย,https://drive.google.com/file/d/15uNq3zUDPBmR3Nfy7zA62k2Vu2uxkNJQ/view?usp=sharing,https://www.facebook.com/photo.php?fbid=1409390367886629&set=a.597068382452169&type=3,https://nakornchiangrainews.com/thai-coffee-strategy-chiang-rai-specialty-coffee/,https://nakornchiangrainews.com/thailand-gi-coffee-market-growth-2026/,https://www.facebook.com/photo.php?fbid=1547665350061599&set=a.523964959098315&type=3,https://www.facebook.com/photo.php?fbid=1409390367886629&set=a.597068382452169&type=3,
6,Makro,ผู้นำธุรกิจค้าส่งอาหารสด (เครือ CP Axtra) ที่ให้บริการผู้ประกอบการร้านอาหาร/โชห่วย,ปรับธุรกิจค้าส่งสู่ omnichannel/แพลตฟอร์มดิจิทัล รับพฤติกรรมผู้ประกอบการที่เปลี่ยน,พัฒนา Makro i-Trace ระบบ QR ตรวจสอบย้อนกลับแบบดิจิทัล + แพลตฟอร์มซัพพลายเชน AXTRA AGRI-CONNEXT (ออนไลน์ 24 ชม.) เชื่อมเกษตรกร–ตลาด,"core — Makro i-Trace ให้ลูกค้าสแกน QR ตรวจสอบย้อนกลับที่มาการเพาะปลูก–ผลิต–ข้อมูลโภชนาการของสินค้ากว่า 19,000 รายการ ออกแบบการเปิดที่มาให้ผู้บริโภคตรวจสอบเองได้ (creative transparency ระดับสูง)","AXTRA AGRI-CONNEXT ""แพลตฟอร์มแห่งโอกาส"" เชื่อมเกษตรกรไทยสู่โมเดิร์นเทรด (เป้าปี 2569 รับซื้อ 30,000 ตัน มูลค่า 35,000 ลบ.)",ฐานลูกค้าผู้ประกอบการ/ร้านโชห่วยที่พึ่งพาเป็นคู่ค้าหลัก,https://drive.google.com/file/d/1o02aOvzgrY41LMhIAu8nKvlcCTibGI46/view?usp=sharing,https://www.blockdit.com/posts/69c5078d07a66dffc429ace5,https://www.facebook.com/360123272820689/posts/1515328843966787,https://www.cpaxtra.com/en/newsroom/news/160/,https://www.facebook.com/1100817308305751/posts/1579023617151782,https://www.thairath.co.th/money/business_marketing/marketing_trends/2924431,
7,นันยาง (Nanyang),แบรนด์รองเท้าผ้าใบตำนานไทยอายุกว่า 70 ปี ผลิตจากยางพาราแท้ 100%,จุดแข็งเด่นด้าน T1 — ตำนาน 70+ ปี พลิกภาพลักษณ์ด้วยโปรเจกต์ Nanyang REBORN/รีไซเคิล จนกลับมาร่วมสมัยและครองใจ Gen Z,"ใช้นวัตกรรมการผลิตแบบ upcycling (""Product of Trash"") เปลี่ยนเศษยาง/ผ้า/ของมีตำหนิเป็นรองเท้า 3 รุ่น + วางขายผ่านมัลติแพลตฟอร์มดิจิทัล (Lazada/Shopee/TikTok) ผสานการเล่าเรื่องรักษ์โลก","core — Nanyang REBORN เปิดข้อมูลวัสดุรีไซเคิล/การลดคาร์บอน 30% (10,000 คู่/ปี ลด 140,000 kgCO2e) + ใช้ยางธรรมชาติแท้ 100% (ความโปร่งใสด้านวัสดุ/คาร์บอน ระดับกลาง — core ไม่ใช่จุดแข็งสุดของแบรนด์)",ชุบชีวิตเศษวัสดุเหลือใช้ + หนุนอุตสาหกรรมยางพาราไทย,แฟนแบรนด์ตำนานข้ามรุ่น/Gen Z เหนียวแน่น สร้างคอนเทนต์–บอกต่อเอง,https://drive.google.com/file/d/1kdn4dgZv5VIm-nl1WhetZ3lqXyl0XiaQ/view?usp=sharing,https://www.brandbuffet.in.th/2026/05/nanyang-back-to-school-2/,https://www.brandbuffet.in.th/2025/01/nanyang-launch-nanyang-reborn/,https://www.sdthailand.com/2025/01/nanyang-reborn-project-to-decarbonization/,-,https://www.brandbuffet.in.th/2026/05/nanyang-back-to-school-2/,
8,Lotus's,ผู้นำค้าปลีก (ไฮเปอร์มาร์เก็ต/ซูเปอร์มาร์เก็ต) ในเครือ CP Axtra,ปรับโฉมครั้งใหญ่หลังเข้าเครือซีพี รีเฟรชแบรนด์–ประสบการณ์ช้อปปิ้ง,พัฒนา Lotus's app + omnichannel + นโยบายตรวจสอบย้อนกลับ (i-Trace) เชื่อมข้อมูลที่มาสินค้าสู่ผู้บริโภค,core — เปิดที่มาสินค้า (รับซื้อตรงจากเกษตรกร 4 ภาคไม่ผ่านคนกลาง) + นโยบายอาหารปลอดภัยตรวจสอบย้อนกลับได้ (ความโปร่งใสระดับกลาง — จุดแข็งจริงของแบรนด์อยู่ที่ T4 แพลตฟอร์มแห่งโอกาส),"แพลตฟอร์มแห่งโอกาส หนุน SME/เกษตรกรราว 7,000 ราย + Business Matching + เพิ่มรับซื้อ 10%/ปี",ฐานลูกค้าขนาดใหญ่ทั่วประเทศ,https://drive.google.com/file/d/1Bqh1lvF6S-NLmucXyOyGV7bajmASth-L/view?usp=sharing,https://www.prachachat.net/marketing/news-2005069,https://www.newswit.com/th/iepkqnd11gwobc8i275eouxs7o1ig6il,https://www.facebook.com/photo.php?fbid=1392327689595060&set=a.627721116055725&type=3,https://corporate.lotuss.com/sme/,https://www.facebook.com/photo.php?fbid=1492416018922507&set=a.594791162018335&type=3,
9,โอ้กะจู๋ (Ohkajhu),แบรนด์ร้านสลัด/อาหาร Farm to Table ของบริษัท ปลูกผักเพราะรักแม่ (OKJ) ก่อตั้งปี 2553 ที่เชียงใหม่ ขยายจากแปลง 180 ตร.ม. สู่ฟาร์มกว่า 300 ไร่ และเข้าตลาดหุ้น (OKJ),"เผชิญขาดทุน 2 ไตรมาสติด (Q4/68, Q1/69) จากกำลังซื้อหด แล้วเปิดแบรนด์ใหม่ ""Grill & Ground"" (สเต๊ก–สลัดบาร์ 259 บาท) แก้เกมราคา–ขยายฐานลูกค้า [อ้างอิง: brandbuffet, mgronline]","ติดตั้งระบบสมาร์ทฟาร์ม (โรงเรือน/ควบคุมอัตโนมัติ) ในฟาร์มออร์แกนิกของตัวเอง ส่งผักสดถึงร้านทุกเช้า ผสานเล่าเรื่อง Farm to Table [อ้างอิง: smartfarmdiys, marketeeronline]","core — Farm to Table ปลูกผักออร์แกนิกในฟาร์มของแบรนด์เอง (กว่า 300 ไร่) เสิร์ฟสดจากแปลงหลังร้าน เปิดให้เห็นที่มาวัตถุดิบจากการเป็นเจ้าของต้นน้ำ (โปร่งใสจริงแต่ยังไม่ได้ออกแบบระบบเปิดเผย/ตรวจสอบเชิงสร้างสรรค์ระดับสูง) [อ้างอิง: gardenandfarm, marketeeronline, okjgroup]","โครงการ ""โอ้กาด"" รับซื้อผักอินทรีย์จากเกษตรกรภาคเหนือมาวางขายทุกสาขา + ปลูกเอง 300+ ไร่ ยกระดับเกษตรอินทรีย์ในห่วงโซ่ [อ้างอิง: gardenandfarm]",ร้าน Farm to Table คิวแน่นต่อเนื่อง ฐานแฟนเหนียวแน่น รีวิว–บอกต่อเอง [อ้างอิง: marketeeronline],https://drive.google.com/file/d/1mzNDyoVjV7KMkJWzVoD3V1Bz3Rm6Zv9Z/view?usp=sharing,https://www.brandbuffet.in.th/2026/05/okj-will-launch-new-brand-grill-and-ground/,https://www.smartfarmdiys.com/,https://gardenandfarm.baanlaesuan.com/343587/garden-farm/ohkajhu_organicfarm,https://gardenandfarm.baanlaesuan.com/343587/garden-farm/ohkajhu_organicfarm,https://marketeeronline.co/archives/128578,
10,INGU,"แบรนด์สกินแคร์ไทยมาแรง เน้น ""มุมมองส่วนผสม"" (ก่อตั้งปี 2566) แนว science-led",สกินแคร์ไทยน้องใหม่ที่สร้างตัวตนชัดด้วยจุดยืนความจริง ท้าชนแบรนด์ระดับโลก,แบรนด์ science-led/DTC ใช้ TikTok (185K followers/3.8M likes) เล่าเรื่องส่วนผสมเชิงวิทยาศาสตร์ + ขยายตลาดข้ามพรมแดนผ่าน YesStyle ส่งกว่า 146 ประเทศ,"core — จุดยืน ""ต้องกล้าพูดความจริงกับผู้บริโภค"" #StopSkincareOverdose เปิดข้อมูลส่วนผสมตรงไปตรงมา ไม่ขายเกินจำเป็น (creative transparency ผ่านคอนเทนต์ความรู้)",พิสูจน์ว่าสกินแคร์ไทยทัดเทียมแบรนด์โลกได้ สร้างแรงบันดาลใจวงการ,ฐานแฟนสายส่วนผสม/รักความจริง บอกต่อด้วยความเชื่อมั่น,https://drive.google.com/file/d/1wEh9587aeVnou3jXt4DC0loJP3Sfkimf/view?usp=sharing,https://www.facebook.com/699603868834595/posts/1562056569255983,https://instagram.com/p/DWLDpV2GH2j,https://www.facebook.com/197272516008529/posts/949034327499007,https://www.prachachat.net/general/news-2008901,https://www.facebook.com/699603868834595/posts/1562056569255983,
11,Srichand (ศรีจันทร์),แบรนด์ความงามมรดกไทยที่พลิกฟื้น (จากผงหอมศรีจันทร์ 70+ ปี) ขึ้นเป็นผู้นำ T-Beauty,"จุดแข็งเด่นด้าน T1 — พลิกแบรนด์ผงหอมเก่าแก่ 70+ ปีสู่เครื่องสำอางทันสมัย (คว้า Best Cosmetics Brand of the Year, ยอดขายปี 2568 ~2,055 ลบ. กำไร +34%)","ปรับสู่ดิจิทัล/e-commerce (Shopee/Lazada/social) + แตกไลน์ SRICHAND IN-SKIN (สกินแคร์โต 148%) ดันด้วยพรีเซนเตอร์+คอนเทนต์ ""Modern Classic Thainess"" เจาะ Gen Z",core — เปิดเผยส่วนผสม/มาตรฐานและเล่าเรื่องมรดกแบรนด์อย่างโปร่งใส (ความโปร่งใสระดับกลาง — จุดแข็งจริงอยู่ที่ T1 พลิกแบรนด์/T5),หนุนวงการ T-Beauty/ความงามไทยสู่เวทีโลก,แฟนแบรนด์ที่ผูกพันกับเรื่องราวมรดกไทยและการกลับมาอย่างยิ่งใหญ่,https://drive.google.com/file/d/1dK_eReKDQlC4udwxUQAceI0t-Rfr6fvI/view?usp=sharing,https://www.facebook.com/261990096842118/posts/952441481130306,https://drive.google.com/file/d/1dK_eReKDQlC4udwxUQAceI0t-Rfr6fvI/view?usp=sharing,https://www.facebook.com/109376031998330/posts/940010458934879,https://www.facebook.com/photo.php?fbid=1303125818598772&set=a.568204335424261&type=3,https://www.facebook.com/261990096842118/posts/952441481130306,
12,Pañpuri (ปัญญ์ปุริ),แบรนด์ออร์แกนิกลักชัวรี/เวลเนสไทย ก่อตั้งปี 2546 โดยวรวิทย์ ศิริพากย์ ชูจุดยืน Clean Beauty รายแรกของเอเชีย ส่งออก 20+ ประเทศ,"พิสูจน์ว่าคนไทยปั้น Thai Luxury Brand ทัดเทียมเคาน์เตอร์แบรนด์ระดับโลกได้ — จากคำถาม ""ทำไมไม่มีแบรนด์ไทยในตลาดสกินแคร์/เวลเนสพรีเมียม"" สู่แบรนด์พันล้านที่ส่งออก 20–27 ประเทศ [อ้างอิง: marketingoops, brandinside, marketeer]","บุกเบิก Clean Beauty รายแรกของเอเชีย + ออกแบบประสบการณ์กลิ่น/เวลเนสรูปแบบใหม่ผ่าน Pañpuri Wellness (ออนเซ็นแร่ธาตุผสานสปาออร์แกนิก) จนคว้า 2 รางวัลใหญ่ Asia Pacific Spa & Wellness Awards 2025 (Park Hyatt + Andaz Pattaya) [อ้างอิง: thestandard, naewna]","core — ZeroList™ มาตรฐานเฉพาะของแบรนด์ที่ประกาศ ""ไม่ใช้"" สารเคมีที่อาจก่อการระคายเคือง/เป็นอันตรายต่อสุขภาพ–สัตว์–สิ่งแวดล้อมกว่า 2,300 รายการ (พัฒนาต่อเนื่องจาก 3,200 สู่ 7,200 รายการ) + แนวคิด ""Everything that touches you is organic"" เปิดมาตรฐานความปลอดภัยให้ผู้บริโภคตรวจสอบได้ — creative transparency ที่ออกแบบเป็นมาตรฐานแบรนด์ [อ้างอิง: thestandard, jeab]","คัดเลือกซัพพลายเออร์โดยเน้นจริยธรรม–มาตรฐาน–ความยั่งยืน + ใช้พืชสมุนไพร/วัตถุดิบออร์แกนิกที่ปลูกในไทยเป็นหลักเพื่อสร้างเอกลักษณ์ไทย หนุนวัตถุดิบ–ภูมิปัญญาท้องถิ่น [อ้างอิง: thailandtrustmark, salforest, smethailandclub]","ฐานแฟน/ผู้ใช้บริการสปา–เวลเนสที่ผูกพัน รวมถึงลูกค้าต่างชาติที่ ""โดนใจ"" ในแบรนด์ไทย [อ้างอิง: marketeeronline, tatlerasia]",https://drive.google.com/file/d/1spuzbTX47YM4H2ko3WSB-SgLspyH2f1W/view?usp=sharing,https://instagram.com/p/DWqIAWfE-15,https://instagram.com/p/DWqIAWfE-15,https://instagram.com/p/DZlzZUaKvqf,https://instagram.com/p/DWqIAWfE-15,https://www.lemon8-app.com/6758641285768512514/7645592485380620807,